Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,6,1,1,Import,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,978307426,,978307426,,785808017,,,0
H4,2012,2012,2012,6,1,2,Export,70,Bosnia Herzegovina,BIH,0,World,WLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,4,,4,,12,,,0
H4,2012,2012,2012,6,1,2,Export,70,Bosnia Herzegovina,BIH,8,Albania,ALB,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,1,,1,,3,,,0
H4,2012,2012,2012,6,1,1,Import,70,Bosnia Herzegovina,BIH,31,Azerbaijan,AZE,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,39966783,,39966783,,34117427,,,0
H4,2012,2012,2012,6,1,2,Export,70,Bosnia Herzegovina,BIH,191,Croatia,HRV,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,1,,1,,3,,,0
H4,2012,2012,2012,6,1,1,Import,70,Bosnia Herzegovina,BIH,368,Iraq,IRQ,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,15,,15,,161,,,0
H4,2012,2012,2012,6,1,1,Import,70,Bosnia Herzegovina,BIH,528,Netherlands,NLD,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,13,,13,,11,,,0
H4,2012,2012,2012,6,1,1,Import,70,Bosnia Herzegovina,BIH,643,Russian Federation,RUS,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,937919295,,937919295,,751268457,,,0
H4,2012,2012,2012,6,1,1,Import,70,Bosnia Herzegovina,BIH,688,Serbia,SRB,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,421320,,421320,,421961,,,0
H4,2012,2012,2012,6,1,2,Export,70,Bosnia Herzegovina,BIH,688,Serbia,SRB,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,1,,1,,3,,,0
H4,2012,2012,2012,6,1,2,Export,70,Bosnia Herzegovina,BIH,705,Slovenia,SVN,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",8,Weight in kilograms,,,1,,1,,3,,,0
