Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2000,8,1,0,H0,270900,8,11862,11862,9405,0
2000,8,2,0,H0,270900,8,180,180,98,0
2000,8,1,191,H0,270900,8,3427,3427,2273,0
2000,8,2,276,H0,270900,8,180,180,98,0
2000,8,1,300,H0,270900,8,7315,7315,4920,0
2000,8,1,381,H0,270900,8,510,510,628,0
2000,8,1,826,H0,270900,8,610,610,1583,0
2000,12,1,0,H0,270900,8,60,60,534,0
2000,12,2,0,H0,270900,8,40556455642,40556455642,9254355457,0
2000,12,2,40,H0,270900,8,77325098,77325098,18363049,0
2000,12,2,44,H0,270900,8,166336131,166336131,39614094,0
2000,12,2,76,H0,270900,8,4553106436,4553106436,1125651672,0
2000,12,1,124,H0,270900,8,14,14,47,0
2000,12,2,124,H0,270900,8,3520161820,3520161820,771555954,0
2000,12,2,170,H0,270900,8,46190212,46190212,10810386,0
2000,12,2,203,H0,270900,8,123764074,123764074,23930981,0
2000,12,1,251,H0,270900,8,6,6,414,0
2000,12,2,251,H0,270900,8,5818332855,5818332855,1270943272,0
2000,12,2,276,H0,270900,8,3167954431,3167954431,719026587,0
2000,12,2,300,H0,270900,8,140462078,140462078,38319907,0
2000,12,1,368,H0,270900,8,40,40,73,0
2000,12,2,381,H0,270900,8,4939253686,4939253686,1068499746,0
2000,12,2,430,H0,270900,8,60954120,60954120,13198839,0
2000,12,2,470,H0,270900,8,310356217,310356217,74628531,0
2000,12,2,490,H0,270900,8,131530858,131530858,22203192,0
2000,12,2,528,H0,270900,8,4768736910,4768736910,1160958326,0
2000,12,2,579,H0,270900,8,82844330,82844330,20721750,0
2000,12,2,591,H0,270900,8,80533156,80533156,15395606,0
2000,12,2,724,H0,270900,8,2613157524,2613157524,613558899,0
2000,12,2,740,H0,270900,8,80044853,80044853,17881852,0
2000,12,2,757,H0,270900,8,877128396,877128396,40781801,0
2000,12,2,792,H0,270900,8,93146146,93146146,17888451,0
2000,12,2,826,H0,270900,8,2167242102,2167242102,483146196,0
2000,12,2,842,H0,270900,8,6737894209,6737894209,1687276366,0
2000,20,1,0,H0,270900,8,3,3,1270,0
2000,20,1,251,H0,270900,8,3,3,1270,0
2000,28,1,0,H0,270900,8,46,46,126,0
2000,28,1,842,H0,270900,8,46,46,126,0
2000,31,1,0,H0,270900,8,1,1,237,0
2000,31,2,0,H0,270900,8,5511641650,5511641650,985436904,0
2000,31,2,251,H0,270900,8,840072540,840072540,146993926,0
2000,31,2,268,H0,270900,8,157753203,157753203,19361066,0
2000,31,2,352,H0,270900,8,165638305,165638305,31512688,0
2000,31,2,360,H0,270900,8,29540141,29540141,5468815,0
2000,31,2,376,H0,270900,8,556813290,556813290,107608120,0
2000,31,2,381,H0,270900,8,3438323917,3438323917,622889221,0
2000,31,2,757,H0,270900,8,205489247,205489247,31249484,0
2000,31,2,792,H0,270900,8,34816460,34816460,6623832,0
2000,31,1,826,H0,270900,8,1,1,237,0
2000,31,2,826,H0,270900,8,30875183,30875183,5874004,0
2000,31,2,891,H0,270900,8,52319364,52319364,7855750,0
2000,32,1,0,H0,270900,8,1498715484,1498715484,322950352,0
2000,32,2,0,H0,270900,8,14359427673,14359427673,2808667093,0
2000,32,1,12,H0,270900,8,83996000,83996000,13379901,0
2000,32,1,24,H0,270900,8,85219000,85219000,15365512,0
2000,32,2,36,H0,270900,8,60176844,60176844,13133725,0
2000,32,2,44,H0,270900,8,37287482,37287482,6625438,0
2000,32,1,68,H0,270900,8,9900001,9900001,2061857,0
2000,32,1,76,H0,270900,8,58947268,58947268,9132080,0
2000,32,2,76,H0,270900,8,4644072869,4644072869,985887184,0
2000,32,2,124,H0,270900,8,19,19,65,0
2000,32,2,152,H0,270900,8,6103925153,6103925153,1141220339,0
2000,32,1,178,H0,270900,8,47654700,47654700,11032079,0
2000,32,1,218,H0,270900,8,51027002,51027002,10924560,0
2000,32,2,251,H0,270900,8,82594314,82594314,14046121,0
2000,32,1,364,H0,270900,8,2,2,102,0
2000,32,1,381,H0,270900,8,89125055,89125055,16751260,0
2000,32,1,384,H0,270900,8,199870080,199870080,48688069,0
2000,32,1,398,H0,270900,8,14,14,1242,0
2000,32,2,528,H0,270900,8,48729016,48729016,8286854,0
2000,32,2,554,H0,270900,8,156216636,156216636,35539492,0
2000,32,1,566,H0,270900,8,872976270,872976270,195613538,0
2000,32,2,600,H0,270900,8,100321919,100321919,22875564,0
2000,32,1,604,H0,270900,8,2,2,96,0
2000,32,2,604,H0,270900,8,58757314,58757314,11862276,0
2000,32,2,724,H0,270900,8,1000,1000,500,0
2000,32,2,780,H0,270900,8,20,20,20,0
2000,32,2,842,H0,270900,8,3016703447,3016703447,559371956,0
2000,32,2,858,H0,270900,8,50641640,50641640,9817559,0
2000,32,1,862,H0,270900,8,90,90,56,0
2000,36,1,0,H0,270900,8,19998050305,19998050305,4237380194,6
2000,36,2,0,H0,270900,8,20424256598,20424256598,4367577021,6
2000,36,2,76,H0,270900,8,90413850,90413850,18092471,6
2000,36,1,96,H0,270900,8,736722234,736722234,154908111,6
2000,36,1,156,H0,270900,8,176657168,176657168,38650644,6
2000,36,2,156,H0,270900,8,1152745101,1152745101,241065618,6
2000,36,2,344,H0,270900,8,9570747,9570747,1654755,6
2000,36,1,360,H0,270900,8,2420221082,2420221082,515995975,6
2000,36,2,360,H0,270900,8,70950,70950,12722,6
2000,36,1,368,H0,270900,8,367772216,367772216,73406595,6
2000,36,2,392,H0,270900,8,3290121236,3290121236,706090100,6
2000,36,2,410,H0,270900,8,4347005041,4347005041,905720258,6
2000,36,1,414,H0,270900,8,43411892,43411892,9975565,6
